field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13
2006,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-
2008,87.05,97.7,12.94,2.17,0.01,0.13,78.77,89.88,21.22,9.55,0.01,0.57
2009,87.71,98.03,12.28,1.95,0.01,0.03,79.98,92.05,20.01,7.83,0.01,0.12
2010,87.79,97.7,12.21,2.27,0,0.03,80.99,92.24,19.01,7.65,0,0.1
2011,88.24,97.74,11.72,2.21,0.04,0.05,81.91,92.86,18.03,6.99,0.06,0.15
2012,96.7,98.15,3.27,1.81,0.03,0.04,95.08,94.38,4.88,5.5,0.04,0.12
2013,96.62,98.46,3.33,1.5,0.05,0.04,94.85,95.37,5.08,4.52,0.07,0.11
2014,98.16,98.45,1.78,1.52,0.05,0.03,97.21,95.56,2.71,4.35,0.08,0.09
2015,97.59,98.65,2.36,1.32,0.05,0.04,96.35,96.07,3.58,3.83,0.07,0.1
2016,97.79,98.83,2.17,1.15,0.04,0.03,96.69,96.64,3.25,3.28,0.06,0.08
2017,97.81,98.95,2.14,1.02,0.04,0.03,96.76,97.05,3.18,2.86,0.06,0.09
2018,97.78,98.97,2.18,1,0.05,0.03,96.73,97.09,3.2,2.82,0.07,0.09
2019,97.83,99.03,2.13,0.94,0.04,0.02,96.83,97.28,3.11,2.65,0.06,0.07
2020,97.74,99.11,2.22,0.87,0.04,0.02,96.69,97.43,3.26,2.51,0.05,0.06
2021,97.07,99.1,2.89,0.88,0.04,0.02,95.72,97.45,4.23,2.5,0.05,0.05
2022,97.0935371497,99.1968184654,2.880465866,0.7914847162,0.0259969843,0.0116968185,95.736196319,97.6625781069,4.2254601227,2.3027077065,0.0383435583,0.0347141865
